,code,label_n1,label_n2,label_n3,description,commentaire
0,C01.00.00,Accident de la circulation,,,,"Accidents de circulation : gendarmerie/police/pompiers/SAMU sont les entités concernées si au moins une victime. Si aucune victime, l’entité concernée est la gendarmerie ou la police."
1,C01.01.00,,Accident routier,,,
2,C01.01.01,,,"Véhicule léger, fourgon","Catégorie de véhicules qui regroupe les voitures de tourisme et les véhicules utilitaires (jusqu'à 3,5 tonnes)",
3,C01.01.02,,,Camion de marchandises,"Poids lourd de plus de 3,5 tonnes affecté au transport de biens et embarquant donc un nombre réduit de passagers",
4,C01.01.03,,,Bus car autocar,Véhicule de grande dimension affecté au transport de passagers,
5,C01.01.04,,,2-roues,"Tout véhicule à deux roues, avec ou sans moteur (bicyclette, cyclomoteur, motocyclette, …)",L’implication d'un 2 roues « l'emporte » sur les autres types de moyens routiers
6,C01.01.05,,,Piéton,,
7,C01.01.06,,,Carambolage,"Série de chocs, de collisions impliquant 4 véhicules et plus",
8,C01.02.00,,Accident ferroviaire,,,
9,C01.02.01,,,Train de voyageurs,Tout moyen de transport de personnes par voie ferroviaire,L’implication d'un train « l'emporte » sur les moyens routiers
10,C01.02.02,,,Train de marchandises,Tout moyen de transport de marchandises par voie ferroviaire,
11,C01.03.00,,Accident maritime ou fluvial,,,
12,C01.03.01,,,Bateau de voyageurs,"Tout moyen de transport de personnes par voie maritime, avec ou sans moteur (voilier, navire de plaisance, paquebot de croisière, …)",
13,C01.03.02,,,Bateau de marchandises,"Tout moyen de transport de marchandises par voie maritime, avec ou sans moteur (barque, navire de pêche, cargo, …)",
14,C01.04.00,,Accident aérien,,,
15,C01.04.01,,,Aéronef de marchandises,Tout moyen de transport de marchandises par voie aérienne embarquant au moins 1 pilote à son bord,
16,C01.04.02,,,Aéronef de voyageurs,Tout moyen de transport de personnes par voie aérienne embarquant au moins 1 pilote à son bord,
17,C01.04.03,,,Aéronef militaire,Tout moyen de transport militaire par voie aérienne embarquant au moins 1 pilote à son bord,
18,C01.04.04,,,Drone,"Petit avion sans équipage embarqué, télécommandé ou programmé",
19,C01.05.00,,Autre type d’accident de circulation,,,
20,C02.00.00,Atteinte aux personnes,,,,
21,C02.01.00,,Attentat,,Un ou plusieurs actes de violence de nature à mettre en péril les institutions de la République ou à porter atteinte à l'intégrité du territoire national (Article 412-1 du Code Pénal) - Dont attentat sur autorité / tuerie planifiée,
22,C02.02.00,,Prise d’otage,,"Détention de personnes contre leur volonté, le plus souvent dans un but revendicatif",
23,C02.03.00,,Homicide ou infanticide,,,
24,C02.03.01,,,Homicide,Meurtre volontaire ou involontaire d’un autre être humain,
25,C02.03.02,,,Infanticide,Meurtre volontaire ou involontaire d’un autre être humain âgé de moins de 15 ans,
26,C02.04.00,,Enlèvement / séquestration,,,
27,C02.04.01,,,Alerte enlèvement,"> Enlèvement d’un enfant sujet au déclenchement du dispositif Alerte Enlèvement par le procureur de la République territorialement compétent
> 4 critères de déclenchement :
* Enlèvement avéré (il ne s’agit pas d’une disparition, même inquiétante)
* La victime est mineure
* La vie ou l’intégrité physique de l’enfant est en danger",
28,C02.04.02,,,Enlèvement,"Enlèvement d’une personne (il ne s’agit pas d’une disparition, même inquiétante)",
29,C02.04.03,,,Séquestration,"Action de retenir une personne enfermée contre son gré en dehors de toute autorité légale en usant de violence, de ruse ou de la menace",
30,C02.05.00,,Pathologie / maladie,,,
31,C02.05.01,,,Médicale,Tout problème médical autre qu’obstétrique ou psychiatrique (liste détaillée disponible dans les motifs de recours médico-secouriste),
32,C02.05.02,,,Obstétrique,Tout problème médical relatif à la grossesse et à l'accouchement,
33,C02.05.03,,,Psychiatrique,Tout problème médical relatif à un problème psychiatrique (dont HDT / HO / Hospitalisation sans consentement),
34,C02.06.00,,Épidémie / TIAC,,,
35,C02.06.01,,,Intoxication alimentaire collective (TIAC),"Apparition d’au moins deux cas similaires d’une symptomatologie, en général gastro-intestinale, dont on peut rapporter la cause à une même origine alimentaire",
36,C02.07.00,,Personne exposée (à),,,
37,C02.07.01,,,"à la chaleur, canicule",,
38,C02.07.02,,,au froid,,
39,C02.07.03,,,"aux flammes, à la fumée",,
40,C02.07.04,,,à produits chimiques ou toxiques / Accident technologique / Intervention à caractère NRBC,"NRBC : nucléaire, radiologique, biologique et/ou chimique",
41,C02.07.05,,,"Electrisation, foudroiement",,
42,C02.08.00,,Traumatisme / Accident,,,
43,C02.08.01,,,Accident avec machine professionnelle / Accident du travail,A l’occasion et par le fait du travail dans un milieu professionnel,
44,C02.08.02,,,Accident domestique,"> Tout accident (traumatisme, intoxication, brûlure, …) survenu à l’intérieur d’un domicile ou de ses dépendances, impliquant une ou plusieurs victimes qui se livraient à une occupation non rémunérée
> Dont électroménager, appareil domestique, jouet",
45,C02.08.03,,,Autre accident (hors sport et loisirs),,
46,C02.08.04,,,Par arme à feu,,
47,C02.08.05,,,Par objet tranchant ou perforant,,
48,C02.08.06,,,"Blessures, piqûre, morsure d'animaux",,
49,C02.08.07,,,Pendaison / strangulation accidentelle,,
50,C02.08.08,,,Etouffement / fausse route,,
51,C02.09.00,,Accident de sport ou de loisirs,,,
52,C02.09.01,,,Accident de chasse,,
53,C02.09.02,,,Accident de plongée,,
54,C02.09.03,,,Accident de spéléologie,,
55,C02.09.04,,,Accident en montagne,,
56,C02.09.05,,,Accident de parachutisme ou deltaplane,,
57,C02.09.06,,,Accident de pêche,,
